Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-30.0,125.25,0.0320757935821477,361.1,0.33952376,447.32443,17,72,63,76
-30.0,125.5,0.0266662077267288,382.7,0.40094054,448.76044,15,77,83,75
-30.0,125.75,0.0252391796924972,404.5,0.44287214,449.77274,13,79,93,74
-30.0,126.0,0.0262166999413498,426.5,0.45326892,450.71478,11,77,96,74
-30.0,126.25,0.0271660519409037,448.7,0.4391145,451.54877,10,77,92,73
-30.0,126.5,0.0298620061996015,471.1,0.4594459,451.85748,8,74,97,73
-30.0,126.75,0.0303741472462813,493.5,0.4702622,451.80972,7,74,98,73
-30.0,127.0,0.0341729073208712,516.1,0.4650975,451.2127,6,70,98,73
-30.0,127.25,0.0386236619869513,538.8,0.45783585,449.59665,5,65,97,74
-30.0,127.5,0.0424720978830009,561.5,0.4463482,448.35364,4,60,94,75
-30.0,127.75,0.0457425051357685,584.4,0.42803994,447.80057,3,56,90,76
-30.0,128.0,0.0492571541363196,587.1,0.40543193,446.64697,3,52,84,76
-30.0,128.25,0.0511434652620837,565.5,0.3823287,446.34937,4,50,78,76
-30.0,128.5,0.0514791851064988,544.2,0.38385913,446.69357,5,49,78,76
-30.0,128.75,0.0512990692918676,523.0,0.42226717,447.04886,6,49,88,76
-30.0,129.0,0.0533818389621696,502.1,0.43404788,447.06357,7,47,91,76
-30.0,129.25,0.0594159114351939,481.4,0.42318827,446.78638,8,41,89,76
-30.0,129.5,0.0664947350243372,461.0,0.38901702,446.0701,9,36,80,77
-30.0,129.75,0.0716036187218768,440.9,0.3608181,445.49432,10,33,72,77
-30.0,130.0,0.0699742064146058,421.1,0.336496,444.5739,12,34,62,78
-30.0,130.25,0.0536612929421521,401.8,0.35341665,445.46725,13,46,69,77
-30.0,130.5,0.0484509529423944,383.0,0.38839328,445.71222,15,53,80,77
-30.0,130.75,0.0493230530016479,364.7,0.42847782,446.18576,16,52,90,77
-30.0,131.0,0.0530116165322916,347.1,0.44301736,446.86563,18,47,93,76
-30.0,131.25,0.0655687647472534,330.2,0.4345604,447.4501,20,37,92,76
-30.0,131.5,0.0762254495683702,314.1,0.41488478,447.59436,22,31,87,76
-30.0,131.75,0.090051980006198,299.1,0.4069564,447.48636,23,25,85,76
-30.0,132.0,0.0991403915237502,285.3,0.39837655,447.73547,25,23,82,76
-30.0,132.25,0.1052232648356862,272.8,0.3927904,447.9186,27,22,81,76
-30.0,132.5,0.1182652172643602,261.8,0.36064234,447.1483,28,21,72,76
-30.0,132.75,0.1272708352355818,252.6,0.35965407,447.97165,30,20,71,75
-30.0,133.0,0.1316874359778705,245.3,0.3535955,448.40094,31,20,69,75
-30.0,133.25,0.1359036224894225,222.4,0.3750154,448.06152,34,19,76,75
-30.0,133.5,0.142401950544722,198.7,0.41652507,447.90714,38,19,87,76
-30.0,133.75,0.1529062846786387,175.1,0.43725452,447.67255,42,18,92,76
-30.0,134.0,0.1710624926590493,151.5,0.42514864,447.87338,46,17,89,76
-30.0,134.25,0.1862089501926675,128.1,0.41967875,447.81006,51,16,88,76
-30.0,134.5,0.1969739724845913,104.9,0.40353453,448.52167,56,15,84,75
-30.0,134.75,0.2051677734591067,82.0,0.38604152,448.56802,61,15,79,75
-30.0,135.0,0.2108334006384081,60.0,0.38347995,448.66553,67,14,78,75
-30.0,135.25,0.2269887766113416,40.2,0.38490674,449.40924,74,13,79,75
-30.0,135.5,0.2410860538305271,27.5,0.37680376,451.31696,79,12,77,73
-30.0,135.75,0.2500608909431667,14.5,0.35151145,453.42874,86,11,68,72
-30.0,136.0,0.2524403884208628,1.6,0.33808833,455.5063,98,11,63,70
-30.0,136.25,0.2426395447880384,11.2,0.3375821,457.90115,89,12,62,68
-30.0,136.5,0.2366499464995285,24.1,0.3487037,457.47913,80,12,67,69
-30.0,136.75,0.2350225110493955,36.9,0.36363062,458.54675,75,13,73,68
-30.0,137.0,0.2297058424557603,49.6,0.36053574,459.88257,70,13,72,67
-30.0,137.25,0.2231448614348967,61.2,0.35524023,461.3883,67,13,70,66
